ASX listed companies as at Mon Feb 08 15:04:57 EST 2010

Company name,ASX code,GICS industry group
"CEDAR WOODS PROPERTIES LIMITED",CWP,"Real Estate"
"CELL AQUACULTURE LIMITED",CAQ,"Capital Goods"
"CELLESTIS LIMITED",CST,"Pharmaceuticals, Biotechnology & Life Sciences"
"CELLMID LIMITED",CDY,"Pharmaceuticals, Biotechnology & Life Sciences"
"CELLNET GROUP LIMITED",CLT,"Technology Hardware & Equipment"
"CENTAURUS RESOURCES LIMITED",CUR,"Materials"
"CENTENNIAL COAL COMPANY LIMITED",CEY,"Energy"
"CENTRAL ASIA RESOURCES LIMITED",CKX,"Classification Pending"
"CENTRAL ASIA RESOURCES LIMITED.",CVR,"Materials"
"CENTRAL PETROLEUM LIMITED",CTP,"Energy"
"CENTRAL WEST GOLD NL",CWG,"Materials"
"CENTREBET INTERNATIONAL LIMITED",CIL,"Consumer Services"
"CENTREPOINT ALLIANCE LIMITED",CAF,"Diversified Financials"
"CENTREX METALS LIMITED",CXM,"Materials"
"CENTRO PROPERTIES GROUP.",CNP,"Real Estate"
"CENTRO RETAIL GROUP",CER,"Real Estate"
"CENTRO SHOPPING CENTRE SECURITIES LIMITED,CMBS SERIES 2006-1",CMB,"GICS Sector Code Not Applicable"
"CENTURY AUSTRALIA INVESTMENTS LIMITED",CYA,"Diversified Financials"
"CERAMIC FUEL CELLS LIMITED",CFU,"Capital Goods"
"CERVANTES CORPORATION LIMITED",CVS,"Food Beverage & Tobacco"
"CFS RETAIL PROPERTY TRUST",CFX,"Real Estate"
"CGA MINING LIMITED",CGX,"Materials"
"CHALICE GOLD MINES LIMITED",CHN,"Materials"
"CHALLENGER DIVERSIFIED PROPERTY GROUP",CDI,"Real Estate"
"CHALLENGER FINANCIAL SERVICES GROUP LIMITED",CGF,"Diversified Financials"
"CHALLENGER INFRASTRUCTURE FUND",CIF,"Utilities"
"CHALLENGER KENEDIX JAPAN TRUST",CKT,"Real Estate"
"CHALLENGER MILLENNIUM SERIES 2007-1E TRUST",CHJ,"GICS Sector Code Not Applicable"
"CHALLENGER MILLENNIUM SERIES 2007-2L TRUST",CHU,"GICS Sector Code Not Applicable"
"CHALLENGER MILLENNIUM SERIES 2008-1 TRUST",CHW,"GICS Sector Code Not Applicable"
"CHALLENGER MILLENNIUM SERIES 2008-2 TRUST",CLG,"GICS Sector Code Not Applicable"
"CHALLENGER MILLENNIUM SERIES 2009-1 TRUST",CLJ,"GICS Sector Code Not Applicable"
"CHALLENGER WINE TRUST",CWT,"Real Estate"
"CHALMERS LIMITED",CHR,"Transportation"
"CHAMELEON MINING NL",CHM,"Materials"
"CHANDLER MACLEOD GROUP LIMITED",CMG,"Commercial & Professional Services"
"CHAPMANS LIMITED",CHP,"Diversified Financials"
"CHARTER HALL GROUP",CHC,"Real Estate"
"CHARTER PACIFIC CORPORATION LIMITED",CHF,"Diversified Financials"
"CHEMEQ LIMITED",CMQ,"Pharmaceuticals, Biotechnology & Life Sciences"
"CHEMGENEX PHARMACEUTICALS LTD",CXS,"Pharmaceuticals, Biotechnology & Life Sciences"
"CHESSER RESOURCES LIMITED",CHZ,"Materials"
"CHEVIOT BRIDGE LIMITED",CVB,"Retailing"
"CHEVIOT KIRRIBILLY VINEYARD PROPERTY GROUP",CKP,"Real Estate"
"CHINA CENTURY CAPITAL LIMITED",CCY,"Diversified Financials"
"CHINA JXY FOOD LIMITED",CJF,"Materials"
"CHINA STEEL AUSTRALIA LIMITED",CNH,"Materials"
"CHINA WEST INTERNATIONAL HOLDINGS LIMITED",CWH,"Materials"
"CHINA YUNNAN COPPER AUSTRALIA LIMITED",CYU,"Materials"
"CHOISEUL INVESTMENTS LIMITED",CHO,"Diversified Financials"
"CHONGHERR INVESTMENTS LTD",CDH,"Materials"
"CHRYSALIS RESOURCES LIMITED",CYS,"Materials"
"CI RESOURCES LIMITED",CII,"Diversified Financials"
"CIRCADIAN TECHNOLOGIES LIMITED",CIR,"Pharmaceuticals, Biotechnology & Life Sciences"
"CITADEL RESOURCE GROUP LIMITED",CGG,"Materials"
"CITIGOLD CORPORATION LIMITED",CTO,"Materials"
"CITIGROUP ALPHA RECHARGE 2",RAA,"GICS Sector Code Not Applicable"
"CITIGROUP ALPHA RESULTS GROWTH",RAK,"GICS Sector Code Not Applicable"
"CITIGROUP ALPHA RESULTS INCOME",RAY,"GICS Sector Code Not Applicable"
"CITY PACIFIC LIMITED",CIY,"Diversified Financials"
"CITYVIEW CORPORATION LIMITED",CVI,"Energy"
"CL ASSET HOLDINGS LIMITED",CLS,"Real Estate"
"CLANCY EXPLORATION LIMITED",CLY,"Materials"
"CLARIUS GROUP LIMITED",CND,"Commercial & Professional Services"
"CLEAN GLOBAL ENERGY LIMITED",CGV,"Materials"
"CLEAN SEAS TUNA LIMITED",CSS,"Food Beverage & Tobacco"
"CLEAN TEQ HOLDINGS LIMITED",CLQ,"Commercial & Professional Services"
"CLEVER COMMUNICATIONS AUSTRALIA LIMITED",CVA,"Telecommunication Services"
"CLIME CAPITAL LIMITED",CAM,"Diversified Financials"
"CLIME INVESTMENT MANAGEMENT LTD",CIW,"Diversified Financials"
"CLINUVEL PHARMACEUTICALS LIMITED",CUV,"Pharmaceuticals, Biotechnology & Life Sciences"
"CLIVE PEETERS LIMITED",CPR,"Retailing"
"CLONCURRY METALS LIMITED",CLU,"Materials"
"CLOUGH LIMITED",CLO,"Capital Goods"
"CLOVER CORPORATION LIMITED",CLV,"Health Care Equipment & Services"
"CLUFF RESOURCES PACIFIC NL",CFR,"Materials"
"CMA CORPORATION LIMITED",CMV,"Capital Goods"
"CMI LIMITED.",CMI,"Capital Goods"
"CMJDA OPTION BASKET",CM9,"Classification Pending"
"CO2 GROUP LIMITED",COZ,"Commercial & Professional Services"
"COAL & ALLIED INDUSTRIES LIMITED",CNA,"Energy"
"COAL FE RESOURCES LIMITED",CES,"Energy"
"COAL OF AFRICA LIMITED",CZA,"Materials"
"COALSPUR MINES LIMITED",CPL,"Materials"
"COALWORKS LIMITED",CWK,"Energy"
"COBAR CONSOLIDATED RESOURCES LIMITED",CCU,"Materials"
"COCA-COLA AMATIL LIMITED",CCL,"Food Beverage & Tobacco"
"COCHLEAR LIMITED",COH,"Health Care Equipment & Services"
"COCKATOO COAL LIMITED",COK,"Energy"
"COCKATOO RIDGE WINES LIMITED",CKR,"Food Beverage & Tobacco"
"CODAN LIMITED",CDA,"Technology Hardware & Equipment"
"COEUR D'ALENE MINES CORPORATION.",CXC,"Materials"
"COFFEY INTERNATIONAL LIMITED",COF,"Commercial & Professional Services"
"COGSTATE LTD",CGS,"Health Care Equipment & Services"
"COLLECTION HOUSE LIMITED",CLH,"Commercial & Professional Services"
"COLONIAL RESOURCES LIMITED",CLN,"Materials"
"COLORPAK LIMITED",CKL,"Materials"
"COMET RESOURCES LIMITED",CRL,"Materials"
"COMET RIDGE LIMITED",COI,"Energy"
"COMMONWEALTH BANK OF AUSTRALIA.",CBA,"Banks"
"COMMONWEALTH PROPERTY OFFICE FUND",CPA,"Real Estate"
"COMMSECURE LIMITED",CMS,"Software & Services"
"COMMSTRAT LIMITED",COJ,"Media"
"COMOPS LIMITED",COM,"Software & Services"
"COMPAGNIE DE FINANCEMENT FONCIER",CFF,"GICS Sector Code Not Applicable"
"COMPASS HOTEL GROUP",CXH,"Real Estate"
"COMPASS RESOURCES LIMITED",CMR,"Materials"
"COMPUMEDICS LIMITED",CMP,"Health Care Equipment & Services"
"COMPUTERSHARE LIMITED.",CPU,"Software & Services"
"COMPUTRONICS HOLDINGS LIMITED",CPS,"Capital Goods"
"COMTEL CORPORATION LIMITED",CMO,"Telecommunication Services"
"CONDOR NICKEL LIMITED",CNK,"Materials"
"CONNECTEAST GROUP",CEU,"Transportation"
"CONNXION VENTURES LIMITED",CXN,"Commercial & Professional Services"
"CONQUEST MINING LIMITED",CQT,"Materials"
"CONSOLIDATED GLOBAL INVESTMENTS LIMITED",CGI,"Materials"
"CONSOLIDATED MEDIA HOLDINGS LIMITED.",CMJ,"Media"
"CONSOLIDATED TIN MINES LIMITED",CSD,"Materials"
"CONSTELLATION BRANDS, INC",CBR,"Food Beverage & Tobacco"
"CONTANGO CAPITAL PARTNERS LIMITED",CCQ,"Diversified Financials"
"CONTANGO MICROCAP LIMITED",CTN,"Diversified Financials"
"CONTINENTAL COAL LIMITED",CCC,"Materials"
"CONVERGENT MINERALS LIMITED",CVG,"Materials"
"COOL OR COSY LIMITED",COS,"Capital Goods"
"COONAWARRA AUSTRALIA PROPERTY TRUST",CNR,"Real Estate"
"COOPER ENERGY LIMITED",COE,"Energy"
"COOTE INDUSTRIAL LTD",CXG,"Capital Goods"
"COPPER RANGE LIMITED",CRJ,"Materials"
"COPPER STRIKE LIMITED",CSE,"Materials"
"COPPERMOLY LIMITED",COY,"Materials"
"CORDLIFE LIMITED",CBB,"Health Care Equipment & Services"
"CORETRACK LIMITED",CKK,"Energy"
"CORPORATE EXPRESS AUSTRALIA LIMITED",CXP,"Commercial & Professional Services"
"CORTONA RESOURCES LIMITED",CRC,"Materials"
"CORUM GROUP LIMITED",COO,"Software & Services"
"CORVETTE RESOURCES LIMITED",COV,"Materials"
"COUGAR ENERGY LIMITED",CXY,"Energy"
"COUGAR METALS NL",CGM,"Materials"
"COUNT FINANCIAL LIMITED",COU,"Diversified Financials"
"COUNTRY ROAD LIMITED",CTY,"Retailing"
"COVENTRY GROUP LIMITED",CYG,"Capital Goods"
"COVENTRY RESOURCES LIMITED",CVY,"Materials"
"COZIRON RESOURCES LIMITED",CZR,"Materials"
"CP1 LIMITED",CPK,"Real Estate"
"CPI GROUP LIMITED",CPI,"Capital Goods"
"CPT GLOBAL LIMITED",CGO,"Software & Services"
"CRANE GROUP LIMITED",CRG,"Capital Goods"
"CREDIT CORP GROUP LIMITED",CCP,"Commercial & Professional Services"
"CREDIT SUISSE GP100 - AUSTRALIA TRUST",CSJ,"Diversified Financials"
"CREDIT SUISSE PL100 - WORLD WATER TRUST",CSW,"GICS Sector Code Not Applicable"
"CREDIT SUISSE PL100-EMERGING MKTS INFR.DEV.TRUST",CSU,"Diversified Financials"
"CRESCENT GOLD LIMITED",CRE,"Materials"
"CROMWELL GROUP",CMW,"Real Estate"
"CROSSLAND URANIUM MINES LIMITED",CUX,"Energy"
"CROWN LIMITED",CWN,"Consumer Services"
"CROWN LIMITED & CONSOLIDATED MEDIA - OPTION BASKET",PB1,"Classification Pending"
"CRUSADE ABS SERIES 2008-1 TRUST",CSO,"GICS Sector Code Not Applicable"
"CRUSADE ABS SERIES 2008-2 TRUST",CZC,"GICS Sector Code Not Applicable"
"CRUSADE EURO TRUST NO. 1E OF 2006",CTK,"GICS Sector Code Not Applicable"
"CRUSADE EURO TRUST NO.1E OF 2007",CSN,"GICS Sector Code Not Applicable"
"CRUSADE GLOBAL TRUST NO. 2 OF 2006",CTU,"GICS Sector Code Not Applicable"
"CRUSADE GLOBAL TRUST NO.1 OF 2006",CTJ,"GICS Sector Code Not Applicable"
"CRUSADE GLOBAL TRUST NO.1 OF 2007",CTH,"GICS Sector Code Not Applicable"
"CRUSADE TRUST SERIES A",CTV,"GICS Sector Code Not Applicable"
"CRUSADER RESOURCES LIMITED",CAS,"Materials"
"CRYOSITE LIMITED",CTE,"Pharmaceuticals, Biotechnology & Life Sciences"
"CSG LIMITED",CSV,"Software & Services"
"CSL LIMITED",CSL,"Pharmaceuticals, Biotechnology & Life Sciences"
"CSR LIMITED",CSR,"Capital Goods"
"CTI LOGISTICS LIMITED",CLX,"Transportation"
"CUDECO LIMITED",CDU,"Materials"
"CUE ENERGY RESOURCES LIMITED",CUE,"Energy"
"CULLEN RESOURCES LIMITED",CUL,"Materials"
"CURNAMONA ENERGY LIMITED",CUY,"Energy"
"CUSTOMERS LIMITED",CUS,"Software & Services"
"CVC LIMITED",CVC,"Diversified Financials"
"CVC PROPERTY FUND",CJT,"Real Estate"
"CYCLOPHARM LIMITED",CYC,"Health Care Equipment & Services"
"D'AGUILAR GOLD LIMITED",DGR,"Materials"
"D2 MARKETING LTD",DTO,"Media"
"DART MINING NL",DTM,"Materials"
"DATA#3 LIMITED",DTL,"Software & Services"
"DATADOT TECHNOLOGY LIMITED",DDT,"Automobile & Components"
"DATAMOTION ASIA PACIFIC LIMITED",DMN,"Software & Services"
"DATASQUIRT LIMITED",DSQ,"Software & Services"
"DAVID JONES LIMITED",DJS,"Retailing"
"DE GREY MINING LIMITED",DEG,"Materials"
"DECMIL GROUP LIMITED",DCG,"Commercial & Professional Services"
"DEEP YELLOW LIMITED",DYL,"Energy"
"DESANE GROUP HOLDINGS LIMITED",DGH,"Real Estate"
"DESERT ENERGY LIMITED",DSN,"Energy"
"DEUTSCHE BANK AG",DBA,"GICS Sector Code Not Applicable"
"DEUTSCHE DIVERSIFIED TRUST",DDF,"Real Estate"
"DEUTSCHE INDUSTRIAL TRUST",DIT,"Real Estate"
"DEUTSCHE OFFICE TRUST",DOT,"Real Estate"
"DEVINE LIMITED",DVN,"Real Estate"
"DEXIA MUNICIPAL AGENCY",DXA,"GICS Sector Code Not Applicable"
"DEXION LIMITED",DEX,"Capital Goods"
"DEXUS PROPERTY GROUP",DXS,"Real Estate"
"DEXUS RENTS TRUST",DXR,"Diversified Financials"
"DIAMONEX LIMITED",DON,"Materials"
"DIATREME RESOURCES LIMITED",DRX,"Materials"
"DIGISLIDE HOLDINGS LIMITED",DGI,"Technology Hardware & Equipment"
"DIORO EXPLORATION NL",DIO,"Materials"
"DIPLOMA GROUP LIMITED",DGX,"Capital Goods"
"DISCOVERY METALS LIMITED",DML,"Materials"
"DIVERSA LIMITED",DVA,"Diversified Financials"
"DIVERSIFIED UNITED INVESTMENT LIMITED",DUI,"Diversified Financials"
"DJERRIWARRH INVESTMENTS LIMITED",DJW,"Diversified Financials"
"DKN FINANCIAL GROUP LIMITED",DKN,"Diversified Financials"
"DMC MINING LIMITED",DMM,"Materials"
"DOLOMATRIX INTERNATIONAL LIMITED",DMX,"Commercial & Professional Services"
"DOMINION MINING LIMITED",DOM,"Materials"
"DOMINO'S PIZZA ENTERPRISES LIMITED",DMP,"Consumer Services"
"DORAY MINERALS LIMITED",DRM,"Materials"
"DOURADO RESOURCES LIMITED",DUO,"Materials"
"DOWNER EDI LIMITED",DOW,"Commercial & Professional Services"
"DRAGON ENERGY LIMITED",DLE,"Materials"
"DRAGON MINING LIMITED",DRA,"Materials"
"DRAGON MOUNTAIN GOLD LIMITED",DMG,"Materials"
"DRAKE RESOURCES LIMITED",DRK,"Materials"
"DRILLSEARCH ENERGY LIMITED",DLS,"Energy"
"DROMANA ESTATE LIMITED",DMY,"Food Beverage & Tobacco"
"DRUMMOND GOLD LIMITED",DGO,"Materials"
"DSF INTERNATIONAL HOLDINGS LIMITED",DSF,"Food Beverage & Tobacco"
"DUET GROUP",DUE,"Utilities"
"DULHUNTY POWER LIMITED",DUL,"Capital Goods"
"DUMMY",ZYX,"Classification Pending"
"DVM INTERNATIONAL LIMITED",DVM,"Energy"
"DWS ADVANCED BUSINESS SOLUTIONS LIMITED",DWS,"Software & Services"
"DYESOL LIMITED",DYE,"Capital Goods"
"DYNASTY METALS AUSTRALIA LIMITED",DMA,"Materials"
"E & A LIMITED",EAL,"Capital Goods"
"E-COM MULTI LIMITED",ECE,"Software & Services"
"E-PAY ASIA LIMITED",EPY,"Software & Services"
"EAGLE EYE METALS LIMITED",EYE,"Materials"
"EAGLE NICKEL LIMITED",ENL,"Materials"
"EARLY LEARNING SERVICES LIMITED",ELY,"Consumer Services"
"EAST COAST MINERALS NL",ECM,"Materials"
"EAST ENERGY RESOURCES LIMITED",EER,"Energy"
"EASTERN CORPORATION LIMITED",ECU,"Energy"
"EASTERN IRON LIMITED",EFE,"Materials"
"EASTERN STAR GAS LIMITED",ESG,"Energy"
"EASTLAND MEDICAL SYSTEMS LTD",EMS,"Pharmaceuticals, Biotechnology & Life Sciences"
"EBET LIMITED",EBT,"Consumer Services"
"ECHO RESOURCES LIMITED",EAR,"Materials"
"ECO QUEST LIMITED",ECQ,"Household & Personal Products"
"ECSI LIMITED",ECS,"Commercial & Professional Services"
"EDEN ENERGY LIMITED",EDE,"Energy"
"EFTEL LIMITED",EFT,"Telecommunication Services"
"EL CORPORATION LIMITED",EIM,"Capital Goods"
"ELDERS LIMITED",ELD,"Food Beverage & Tobacco"
"ELDORADO GOLD CORPORATION",EAU,"Materials"
"ELDORE MINING CORPORATION LIMITED",EDM,"Materials"
"ELECKRA MINES LIMITED",EKM,"Materials"
"ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED",EOS,"Capital Goods"
"ELECTROMETALS TECHNOLOGIES LIMITED",EMM,"Capital Goods"
"ELEMENTAL MINERALS LIMITED",ELM,"Materials"
"ELEMENTOS LIMITED",ELT,"Materials"
"ELIXIR PETROLEUM LIMITED",EXR,"Energy"
"ELK PETROLEUM LIMITED",ELK,"Energy"
"ELLECT HOLDINGS LIMITED",EHG,"Technology Hardware & Equipment"
"ELLEX MEDICAL LASERS LIMITED",ELX,"Health Care Equipment & Services"
"EMBELTON LIMITED",EMB,"Capital Goods"
"EMECO HOLDINGS LIMITED",EHL,"Capital Goods"
"EMERALD OIL & GAS NL",EMR,"Energy"
"EMERGENT RESOURCES LIMITED",EMG,"Materials"
"EMERGING LEADERS INVESTMENTS LIMITED",ELI,"Diversified Financials"
"EMERSON STEWART GROUP LIMITED",ESW,"Commercial & Professional Services"
"EMMERSON RESOURCES LIMITED",ERM,"Materials"
"EMPIRE BEER GROUP LIMITED",EEE,"Food Beverage & Tobacco"
"EMPIRE OIL & GAS NL",EGO,"Energy"
"EMPIRE RESOURCES LIMITED",ERL,"Materials"
"EMPIRED LTD",EPD,"Software & Services"
"EMU NICKEL NL",EMU,"Materials"
"ENCOUNTER RESOURCES LIMITED",ENR,"Energy"
"ENEABBA GAS LIMITED",ENB,"Utilities"
"ENERGIA MINERALS LIMITED",EMX,"Energy"
"ENERGY AND MINERALS AUSTRALIA LIMITED",EMA,"Energy"
"ENERGY DEVELOPMENTS LIMITED",ENE,"Utilities"
"ENERGY METALS LTD",EME,"Energy"
"ENERGY ONE LIMITED",EOL,"Software & Services"
"ENERGY RESOURCES OF AUSTRALIA LIMITED",ERA,"Energy"
"ENERGY VENTURES LTD",EVE,"Diversified Financials"
"ENERGY WORLD CORPORATION LTD",EWC,"Utilities"
"ENERJI LTD",ERJ,"Utilities"
"ENGIN LIMITED",ENG,"Telecommunication Services"
"ENTEK ENERGY LTD",ETE,"Energy"
"ENTELLECT SOLUTIONS LIMITED",ESN,"Software & Services"
"ENTERPRISE METALS LIMITED",ENT,"Materials"
"ENVESTRA LIMITED",ENV,"Utilities"
"ENVIROGOLD LIMITED",EVG,"Materials"
"ENVIROMISSION LIMITED",EVM,"Utilities"
"ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED",ESI,"Commercial & Professional Services"
"ENVIRONMENTAL GROUP LIMITED (THE)",EGL,"Capital Goods"
"EPSILON ENERGY LIMITED",EPS,"Energy"
"EQUATORIAL COAL LIMITED",EQX,"Energy"
"EQUINOX MINERALS LIMITED",EQN,"Materials"
"EQUITIES AND FREEHOLDS LIMITED",EQF,"Diversified Financials"
"EQUITY TRUSTEES LIMITED",EQT,"Diversified Financials"
"ERO MINING LIMITED",ERO,"Energy"
"EROMANGA HYDROCARBONS NL",ERH,"Materials"
"ERONGO ENERGY LIMITED",ERN,"Energy"
"ESERVGLOBAL LIMITED",ESV,"Software & Services"
"ESPERANCE MINERALS NL",ESM,"Energy"
"ESSA AUSTRALIA LIMITED",ESS,"Capital Goods"
"ESSENTIAL PETROLEUM RESOURCES LIMITED",EPR,"Energy"
"ETFS METAL SECURITIES AUSTRALIA LIMITED",ETP,"GICS Sector Code Not Applicable"
"ETFS METAL SECURITIES AUSTRALIA LIMITED.",GOL,"Materials"
"ETHAN MINERALS LIMITED",ETH,"Materials"
"ETHANE PIPELINE INCOME FUND",EPX,"Utilities"
"ETT LIMITED",ETT,"Technology Hardware & Equipment"
"ETW CORPORATION LIMITED",ETW,"Food Beverage & Tobacco"
"EUMUNDI GROUP LIMITED",EBG,"Consumer Services"
"EUREKA ENERGY LIMITED",EKA,"Materials"
"EUROGOLD LIMITED",EUG,"Materials"
"EUROPEAN GAS LIMITED",EPG,"Energy"
"EUROZ LIMITED",EZL,"Diversified Financials"
"EVEREST FINANCIAL GROUP LIMITED",EFG,"Diversified Financials"
"EVERY DAY MINE SERVICES LIMITED",EDS,"Capital Goods"
"EVZ LIMITED",EVZ,"Commercial & Professional Services"
"EXCALIBUR MINING CORPORATION LIMITED",EXM,"Materials"
"EXCELA LIMITED",EXA,"Diversified Financials"
"EXCO RESOURCES LIMITED",EXS,"Materials"
"EXOMA ENERGY LIMITED",EXE,"Energy"
"EXTRACT RESOURCES LTD",EXT,"Energy"
"EYECARE PARTNERS LIMITED",EPL,"Health Care Equipment & Services"
"EZENET LIMITED",EZE,"Software & Services"
"FACILITATE DIGITAL HOLDINGS LIMITED",FAC,"Media"
"FAIRFAX MEDIA LIMITED",FXJ,"Media"
"FAIRSTAR RESOURCES LIMITED",FAS,"Materials"
"FALCON MINERALS LIMITED",FCN,"Materials"
"FALL RIVER RESOURCES LTD",FRV,"Energy"
"FANTASTIC HOLDINGS LIMITED",FAN,"Retailing"
"FARM PRIDE FOODS LIMITED",FRM,"Food Beverage & Tobacco"
"FAT PROPHETS AUSTRALIA FUND LIMITED",FAT,"Diversified Financials"
"FERMISCAN HOLDINGS LIMITED",FER,"Health Care Equipment & Services"
"FERRAUS LIMITED",FRS,"Materials"
"FERROWEST LIMITED",FWL,"Materials"
"FERRUM CRESCENT LIMITED",FCR,"Materials"
"FFI HOLDINGS LIMITED",FFI,"Food Beverage & Tobacco"
"FIDUCIAN PORTFOLIO SERVICES LIMITED",FPS,"Diversified Financials"
"FIG TREE DEVELOPMENTS LTD",FTD,"Real Estate"
"FINBAR GROUP LIMITED",FRI,"Real Estate"
"FINDERS RESOURCES LIMITED",FND,"Materials"
"FIRESTONE ENERGY LIMITED",FSE,"Materials"
"FIRST AUSTRALIAN RESOURCES LIMITED",FAR,"Energy"
"FIRST OPPORTUNITY FUND LIMITED",FOF,"GICS Sector Code Not Applicable"
"FIRSTFOLIO LIMITED",FFF,"Banks"
"FIRSTMAC BOND SERIES 1C-2006 TRUST",FMN,"GICS Sector Code Not Applicable"
"FIRSTMAC BOND SERIES 2-2005 TRUST",FMB,"GICS Sector Code Not Applicable"
"FIRSTMAC BOND SERIES 3-2005 TRUST",FMM,"GICS Sector Code Not Applicable"
"FIRSTMAC MORTGAGE FUNDING TRUST SERIES 1-2007",FMA,"GICS Sector Code Not Applicable"
"FISHER & PAYKEL APPLIANCES HOLDINGS LIMITED",FPA,"Consumer Durables & Apparel"
"FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED",FPH,"Health Care Equipment & Services"
"FISSION ENERGY LIMITED",FIS,"Energy"
"FKP PROPERTY GROUP",FKP,"Real Estate"
"FLAT GLASS INDUSTRIES LIMITED",FGI,"Capital Goods"
"FLEETWOOD CORPORATION LIMITED",FWD,"Automobile & Components"
"FLETCHER BUILDING LIMITED",FBU,"Materials"
"FLEXIGROUP LIMITED",FXL,"Diversified Financials"
"FLIGHT CENTRE LIMITED",FLT,"Consumer Services"
"FLINDERS MINES LIMITED",FMS,"Materials"
"FLUOROTECHNICS LIMITED",FLS,"Pharmaceuticals, Biotechnology & Life Sciences"
"FOCUS MINERALS LTD",FML,"Materials"
"FOLKESTONE LIMITED",FLK,"Real Estate"
"FOREST ENTERPRISES AUSTRALIA LIMITED",FEA,"Materials"
"FOREST PLACE GROUP LIMITED",FPG,"Real Estate"
"FORGE GROUP LIMITED",FGE,"Capital Goods"
"FORTE ENERGY NL",FTE,"Materials"
"FORTESCUE METALS GROUP LTD",FMG,"Materials"
"FOSTER'S GROUP LIMITED",FGL,"Food Beverage & Tobacco"
"FOX RESOURCES LIMITED",FXR,"Materials"
"FRANKLAND RIVER OLIVE COMPANY LIMITED",FLR,"Food Beverage & Tobacco"
"FREEDOM EYE LTD",FYI,"Pharmaceuticals, Biotechnology & Life Sciences"
"FREEDOM NUTRITIONAL PRODUCTS LIMITED",FNP,"Food Beverage & Tobacco"
"FRESHTEL HOLDINGS LIMITED",FRE,"Telecommunication Services"
"FRIGRITE LIMITED",FRR,"Capital Goods"
"FRONTIER RESOURCES LIMITED",FNT,"Materials"
"FSA GROUP LIMITED",FSA,"Diversified Financials"
"FULCRUM EQUITY LIMITED",FUL,"Telecommunication Services"
"FUNTASTIC LIMITED",FUN,"Consumer Durables & Apparel"
"FUTURE CORPORATION AUSTRALIA LIMITED",FUT,"Telecommunication Services"
"G.U.D. HOLDINGS LIMITED",GUD,"Consumer Durables & Apparel"
"GAGE ROADS BREWING CO LIMITED",GRB,"Food Beverage & Tobacco"
"GALAXY RESOURCES LIMITED",GXY,"Materials"
"GALE PACIFIC LIMITED",GAP,"Consumer Durables & Apparel"
"GALILEO JAPAN TRUST",GJT,"Real Estate"
"GARRATT'S LIMITED",GRT,"Consumer Services"
"GAS2GRID LIMITED",GGX,"Energy"
"GASCOYNE RESOURCES LIMITED",GCY,"Materials"
"GATEWAY MINING LIMITED",GML,"Materials"
"GAZAL CORPORATION LIMITED",GZL,"Consumer Durables & Apparel"
"GB ENERGY LIMITED",GBX,"Energy"
"GBM RESOURCES LIMITED",GBZ,"Materials"
"GBST HOLDINGS LIMITED",GBT,"Software & Services"
"GE CAPITAL AUSTRALIA FUNDING PTY LIMITED",GEA,"GICS Sector Code Not Applicable"
"GEMSTAR DIAMONDS LIMITED",GEM,"GICS Sector Code Not Applicable"
"GENERA BIOSYSTEMS LIMITED",GBI,"Pharmaceuticals, Biotechnology & Life Sciences"
"GENERAL MINING CORPORATION LIMITED",GMM,"Materials"
"GENERATOR INCOME TRUST.",GIN,"GICS Sector Code Not Applicable"
"GENESIS MINERALS LIMITED",GMD,"Materials"
"GENESIS RESEARCH AND DEVELOPMENT CORPORATION LIMITED",GEN,"Pharmaceuticals, Biotechnology & Life Sciences"
"GENESIS RESOURCES LIMITED",GES,"Materials"
"GENETIC TECHNOLOGIES LIMITED",GTG,"Pharmaceuticals, Biotechnology & Life Sciences"
"GEO PROPERTY GROUP",GPM,"Real Estate"
"GEODYNAMICS LIMITED",GDY,"Utilities"
"GEOPACIFIC RESOURCES NL",GPR,"Materials"
"GEOTHERMAL RESOURCES LIMITED",GHT,"Utilities"
"GIACONDA LIMITED",GIA,"Pharmaceuticals, Biotechnology & Life Sciences"
"GINDALBIE METALS LTD",GBG,"Materials"
"GIPPSLAND LIMITED",GIP,"Materials"
"GIRALIA RESOURCES NL",GIR,"Materials"
"GLADIATOR RESOURCES LIMITED",GLA,"Materials"
"GLENEAGLE GOLD LIMITED",GLN,"Materials"
"GLENGARRY RESOURCES LIMITED",GGY,"Materials"
"GLG CORP LTD",GLE,"Consumer Durables & Apparel"
"GLOBAL CONSTRUCTION SERVICES LIMITED",GCS,"Capital Goods"
"GLOBAL GEOSCIENCE LIMITED",GSC,"Materials"
"GLOBAL GOLD HOLDINGS LIMITED",GGH,"Materials"
"GLOBAL HEALTH LIMITED",GLH,"Health Care Equipment & Services"
"GLOBAL IRON LIMITED",GFE,"Materials"
"GLOBAL MASTERS FUND LIMITED",GFL,"Diversified Financials"
"GLOBAL MINING INVESTMENTS LIMITED",GMI,"Diversified Financials"
"GLOBAL NICKEL INVESTMENTS LIMITED",GNI,"Materials"
"GLOBAL PETROLEUM LIMITED",GBP,"Energy"
"GLOBAL PROPERTIES LIMITED",GPB,"Real Estate"
"GLOBAL RESOURCE MASTERS FUND LIMITED",GRF,"Diversified Financials"
